specification,equation,variable,role,N,mean,sd,min,p10,p25,p50,p75,p90,max
debt_with_b,debt,b_outcome,dependent_variable,1433,.0076921424,.063528948,-.54166001,-.044179991,-.020649986,.0019499969,.028070031,.069209978,.41863
debt_with_b,debt,debt_kink_low,regressor,1433,.010470342,.012950785,0,0,0,.0048691751,.018347923,.031501159,.054622177
debt_with_b,debt,debt_kink_high,regressor,1433,.020097848,.059112351,0,0,0,0,.012214481,.055633612,.57507783
debt_with_b,debt,debt_gdp,regressor,1433,.58240098,.3515889,.039009999,.22127001,.35613999,.50641996,.72735,1.0273499,2.6096399
debt_with_b,debt,vulnerability100,regressor,1433,.38272688,.07859721,.25103006,.29944953,.31737366,.36843213,.43425024,.50266796,.58079988
debt_with_b,debt,growth,regressor,1433,.033825479,.036136352,-.14546999,-.0041399999,.016490001,.03444,.05545,.075000003,.24624
debt_with_b,debt,inflation_cpi,regressor,1433,.046174221,.054157615,-.017680001,.0051799999,.016070001,.031400003,.061469998,.09939,.72300005
debt_with_b,debt,reserves,regressor,1433,.054564226,.13415645,2.4124340e-06,.00018522296,.00192782,.015149079,.051256791,.096768454,1.5270723
debt_with_b,debt,tt,regressor,1433,1.0088556,.18264569,.31876099,.861,.94199997,.99419737,1.044381,1.1442649,2.7307551
debt_with_b,debt,readiness100,construction_input,1433,.5057103,.14616267,.20213045,.32371673,.37362185,.49937156,.63150978,.70977265,.80720198
debt_with_b,debt,theta_hat_A,construction_input,1433,.038386106,.108167,-.050440036,-.032753643,-.014097641,.010124589,.050370451,.12360559,1.1831281
ready_with_lag,ready,A_outcome,dependent_variable,1448,.50375092,.14425053,.20213045,.3189252,.37352252,.49889562,.62679315,.70598799,.7973066
ready_with_lag,ready,ready_kink_low,regressor,1448,.00070683251,.0012571604,-.0034822894,0,0,.00027919986,.0011773931,.0021622516,.0087400982
ready_with_lag,ready,ready_kink_high,regressor,1448,.0036894083,.010614853,-.0030639665,0,0,0,.001899378,.01232109,.14084564
ready_with_lag,ready,readiness_lag,regressor,1448,.50127035,.14373253,.20213045,.3189252,.37120757,.49430338,.62334907,.70431662,.7973066
ready_with_lag,ready,vulnerability100,regressor,1448,.38116372,.079080515,.25103006,.29531658,.3167592,.36707649,.43385726,.50266796,.58079988
ready_with_lag,ready,growth,regressor,1448,.032953799,.035323489,-.14546999,-.0041399999,.015900001,.03308,.053884998,.073179998,.24624
ready_with_lag,ready,inflation_cpi,regressor,1448,.047973253,.056366432,-.017680001,.0062300004,.01695,.032894999,.063184999,.10212,.72300005
ready_with_lag,ready,reserves,regressor,1448,.045359936,.11498417,2.4124340e-06,.00018343164,.0019047442,.014990734,.050330676,.087753057,1.5270723
ready_with_lag,ready,tt,regressor,1448,1.0079933,.17587426,.31876099,.86199999,.94199997,.99447137,1.0441905,1.145,2.7307551
ready_with_lag,ready,interest_revenue,construction_input,1448,.085230082,.097733974,-.069005318,.0053181527,.025861362,.056692768,.10946271,.20771948,.79869783
ready_with_lag,ready,theta_hat_A,construction_input,1448,.037547551,.10929165,-.050440036,-.032946099,-.014414727,.0092569636,.046921432,.12091363,1.1831281
ready_debt_cutoff,ready_debt,A_outcome,dependent_variable,1448,.50375092,.14425053,.20213045,.3189252,.37352252,.49889562,.62679315,.70598799,.7973066
ready_debt_cutoff,ready_debt,ready_debt_kink_low,regressor,1448,.00064909831,.0011856202,-.0033609464,0,0,.00022642277,.0010982336,.0020269253,.0080992673
ready_debt_cutoff,ready_debt,ready_debt_kink_high,regressor,1448,.0037815475,.010727492,-.0031093212,0,0,0,.0020831455,.012563478,.14105913
ready_debt_cutoff,ready_debt,readiness_lag,regressor,1448,.50127035,.14373253,.20213045,.3189252,.37120757,.49430338,.62334907,.70431662,.7973066
ready_debt_cutoff,ready_debt,vulnerability100,regressor,1448,.38116372,.079080515,.25103006,.29531658,.3167592,.36707649,.43385726,.50266796,.58079988
ready_debt_cutoff,ready_debt,growth,regressor,1448,.032953799,.035323489,-.14546999,-.0041399999,.015900001,.03308,.053884998,.073179998,.24624
ready_debt_cutoff,ready_debt,inflation_cpi,regressor,1448,.047973253,.056366432,-.017680001,.0062300004,.01695,.032894999,.063184999,.10212,.72300005
ready_debt_cutoff,ready_debt,reserves,regressor,1448,.045359936,.11498417,2.4124340e-06,.00018343164,.0019047442,.014990734,.050330676,.087753057,1.5270723
ready_debt_cutoff,ready_debt,tt,regressor,1448,1.0079933,.17587426,.31876099,.86199999,.94199997,.99447137,1.0441905,1.145,2.7307551
ready_debt_cutoff,ready_debt,interest_revenue,construction_input,1448,.085230082,.097733974,-.069005318,.0053181527,.025861362,.056692768,.10946271,.20771948,.79869783
ready_debt_cutoff,ready_debt,theta_hat_A,construction_input,1448,.037547551,.10929165,-.050440036,-.032946099,-.014414727,.0092569636,.046921432,.12091363,1.1831281
