country_name,iso3,observations,theta_mean,rank,cutoff,above_cutoff,country_label
Chile,CHL,11,-.0283703665625266,1,-.0153764933107824,0,Chile
New Zealand,NZL,18,-.0252915528732625,2,-.0153764933107824,0,
South Africa,ZAF,19,-.0230293813898925,3,-.0153764933107824,0,
Korea,KOR,18,-.0216782773530077,4,-.0153764933107824,0,
Australia,AUS,19,-.0195402311902002,5,-.0153764933107824,0,
Indonesia,IDN,8,-.0183929702191874,6,-.0153764933107824,0,
Russia,RUS,15,-.0175759999319089,7,-.0153764933107824,0,
China,CHN,16,-.0142170107899113,8,-.0153764933107824,1,
Malaysia,MYS,10,-.0134185713239081,9,-.0153764933107824,1,
Czech Republic,CZE,18,-.009322127940464,10,-.0153764933107824,1,
Norway,NOR,19,-.0084374828410078,11,-.0153764933107824,1,
Lithuania,LTU,15,-.008125036577411,12,-.0153764933107824,1,
Philippines,PHL,18,-.0076801132260165,13,-.0153764933107824,1,
Turkey,TUR,8,-.0050144289188116,14,-.0153764933107824,1,
Vietnam,VNM,11,-.0047457730299949,15,-.0153764933107824,1,
Sweden,SWE,19,-.0043611428861108,16,-.0153764933107824,1,
Denmark,DNK,19,-.0043488852207756,17,-.0153764933107824,1,
Namibia,NAM,4,-.0042460490690846,18,-.0153764933107824,1,
Romania,ROU,11,-.003874150063382,19,-.0153764933107824,1,
Poland,POL,18,-.0016722902380198,20,-.0153764933107824,1,
Slovak Republic,SVK,9,-.0008233994126107,21,-.0153764933107824,1,
Switzerland,CHE,14,-.0003247959794428,22,-.0153764933107824,1,
Finland,FIN,19,.0008661094589604,23,-.0153764933107824,1,
Thailand,THA,17,.0013655882407867,24,-.0153764933107824,1,
Netherlands,NLD,19,.0017298824215399,25,-.0153764933107824,1,
Bangladesh,BGD,3,.0028586695794827,26,-.0153764933107824,1,
Mexico,MEX,12,.0038715846460006,27,-.0153764933107824,1,
Morocco,MAR,6,.0057309218359701,28,-.0153764933107824,1,
Pakistan,PAK,9,.0084042948626528,29,-.0153764933107824,1,
United Kingdom,GBR,19,.0085311816840957,30,-.0153764933107824,1,
Ireland,IRL,19,.0096838041458957,31,-.0153764933107824,1,
Germany,DEU,19,.014558105751453,32,-.0153764933107824,1,
Slovenia,SVN,11,.0179307045103826,33,-.0153764933107824,1,
Spain,ESP,19,.0186099310079393,34,-.0153764933107824,1,
Israel,ISR,16,.019669190248722,35,-.0153764933107824,1,
Canada,CAN,19,.0197172407549497,36,-.0153764933107824,1,
Hungary,HUN,15,.0229404177881253,37,-.0153764933107824,1,
India,IND,20,.0249675415342061,38,-.0153764933107824,1,
Austria,AUT,19,.0262786206859079,39,-.0153764933107824,1,
Croatia,HRV,10,.0267635825990498,40,-.0153764933107824,1,
United States,USA,18,.0277779818408645,41,-.0153764933107824,1,
France,FRA,19,.0296119366128889,42,-.0153764933107824,1,
Egypt,EGY,8,.0339665141948124,43,-.0153764933107824,1,
Brazil,BRA,11,.0442442100801088,44,-.0153764933107824,1,
Portugal,PRT,19,.0529297914422065,45,-.0153764933107824,1,
Belgium,BEL,19,.0568896555481564,46,-.0153764933107824,1,
Iceland,ISL,12,.0659622086927978,47,-.0153764933107824,1,
Italy,ITA,19,.0972970972165345,48,-.0153764933107824,1,Italy
Greece,GRC,19,.1558184578723074,49,-.0153764933107824,1,Greece
Japan,JPN,12,.2592122349258906,50,-.0153764933107824,1,Japan
