country_name,iso3,observations,theta_mean,rank,cutoff,above_cutoff,country_label
Chile,CHL,11,-.0268310083147429,1,.0517856469405607,0,Chile
New Zealand,NZL,18,-.0227079365525152,2,.0517856469405607,0,
South Africa,ZAF,18,-.0208040981320916,3,.0517856469405607,0,
Korea,KOR,18,-.0194919177326945,4,.0517856469405607,0,
Australia,AUS,19,-.0176866854042755,5,.0517856469405607,0,
Russia,RUS,15,-.0155450429927046,6,.0517856469405607,0,
Indonesia,IDN,8,-.0141554162873791,7,.0517856469405607,0,
China,CHN,16,-.0127165448128988,8,.0517856469405607,0,
Malaysia,MYS,10,-.0120482746105935,9,.0517856469405607,0,
Czech Republic,CZE,18,-.0068633689324781,10,.0517856469405607,0,
Norway,NOR,19,-.0061986906905556,11,.0517856469405607,0,
Philippines,PHL,18,-.0060093262686001,12,.0517856469405607,0,
Lithuania,LTU,15,-.0058748110212729,13,.0517856469405607,0,
Namibia,NAM,4,-.0044466156850737,14,.0517856469405607,0,
Vietnam,VNM,11,-.0027791926119839,15,.0517856469405607,0,
Romania,ROU,11,-.0018089494637692,16,.0517856469405607,0,
Denmark,DNK,19,-.0017072963377998,17,.0517856469405607,0,
Turkey,TUR,8,-.0016902126019584,18,.0517856469405607,0,
Sweden,SWE,19,-.0015413274782325,19,.0517856469405607,0,
Poland,POL,18,-.0003650796327336,20,.0517856469405607,0,
Slovak Republic,SVK,9,.0009207698128758,21,.0517856469405607,0,
Finland,FIN,19,.0013347704520351,22,.0517856469405607,0,
Netherlands,NLD,19,.0026572579945152,23,.0517856469405607,0,
Switzerland,CHE,14,.0027455969944953,24,.0517856469405607,0,
Thailand,THA,17,.0042932183062071,25,.0517856469405607,0,
United Kingdom,GBR,19,.0048857103402392,26,.0517856469405607,0,
Morocco,MAR,6,.0050829112613582,27,.0517856469405607,0,
Mexico,MEX,12,.0053267797240961,28,.0517856469405607,0,
Bangladesh,BGD,3,.0056589566419629,29,.0517856469405607,0,
Ireland,IRL,19,.0058427091570099,30,.0517856469405607,0,
Pakistan,PAK,9,.0076086050830223,31,.0517856469405607,0,
Germany,DEU,19,.0127480746866693,32,.0517856469405607,0,
Spain,ESP,19,.0130638890259537,33,.0517856469405607,0,
Canada,CAN,19,.0139193998125557,34,.0517856469405607,0,
Slovenia,SVN,11,.0146016746004633,35,.0517856469405607,0,
Israel,ISR,16,.0185837480675884,36,.0517856469405607,0,
United States,USA,17,.0187474651310766,37,.0517856469405607,0,
Hungary,HUN,15,.0197417063765572,38,.0517856469405607,0,
India,IND,20,.0216564019132774,39,.0517856469405607,0,
Croatia,HRV,10,.0220655144682058,40,.0517856469405607,0,
Austria,AUT,19,.0222407423291512,41,.0517856469405607,0,
France,FRA,19,.0223567167686641,42,.0517856469405607,0,
Egypt,EGY,8,.0258890484946457,43,.0517856469405607,0,
Portugal,PRT,19,.0366342978040159,44,.0517856469405607,0,
Brazil,BRA,11,.0413246654041688,45,.0517856469405607,0,
Belgium,BEL,19,.045038592067155,46,.0517856469405607,0,
Iceland,ISL,12,.0500748898314431,47,.0517856469405607,0,
Italy,ITA,19,.0746775245415419,48,.0517856469405607,1,Italy
Greece,GRC,19,.1094866360874466,49,.0517856469405607,1,Greece
Japan,JPN,12,.1743666944447821,50,.0517856469405607,1,Japan
