specification,equation,variable,role,N,mean,sd,min,p10,p25,p50,p75,p90,max
debt_no_b,debt,delta_debt_lead,dependent_variable,1552,.049404647,.062317699,-.44841218,-.0022814337,.015603846,.04082077,.071215235,.11038646,.57784468
debt_no_b,debt,debt_kink_low,regressor,1552,.012079155,.014124834,0,0,0,.006691915,.021141918,.034890067,.057827387
debt_no_b,debt,debt_kink_high,regressor,1552,.01907712,.057721063,0,0,0,0,.010070582,.055394031,.57780802
debt_no_b,debt,vulnerability100,regressor,1552,.38232023,.077961974,.25103006,.30112097,.31809148,.36753812,.43397731,.50306094,.58079988
debt_no_b,debt,growth,regressor,1552,.034261327,.036632281,-.1604,-.0045099999,.016935,.034965001,.055890001,.075500004,.24624
debt_no_b,debt,inflation_cpi,regressor,1552,.047429975,.057928961,-.017680001,.0050599999,.01608,.030525001,.06202,.10215,.72300005
debt_no_b,debt,reserves,regressor,1552,.057688732,.13263756,2.4124340e-06,.00019799285,.0021823742,.018876802,.055388268,.11434834,1.5270723
debt_no_b,debt,tt,regressor,1552,1.0071737,.1799126,.31876099,.85900003,.94149995,.995,1.0465678,1.143,2.7307551
debt_no_b,debt,readiness100,construction_input,1552,.50539517,.14348465,.20213045,.32718521,.37398157,.50048268,.6234473,.7060287,.80720198
debt_no_b,debt,theta_hat_A,construction_input,1552,.044994745,.10702108,-.044901125,-.02621031,-.0072876122,.017115038,.056538034,.13458799,1.1774683
ready_no_lag,ready,J_readiness,dependent_variable,1571,.0025120778,.018333234,-.21999377,-.0079730228,-.0024155807,.0020745851,.0075345994,.015313072,.082301177
ready_no_lag,ready,ready_kink_low,regressor,1571,1.7438622e-06,.000078459263,-.0007532335,0,0,0,0,0,.00045834755
ready_no_lag,ready,ready_kink_high,regressor,1571,.0073674088,.013968899,-.0046394165,0,.00031739325,.0023937675,.0077502383,.021166958,.17866987
ready_no_lag,ready,vulnerability100,regressor,1571,.38073257,.078306563,.25103006,.30030334,.31703177,.36475825,.43374377,.50286788,.58079988
ready_no_lag,ready,growth,regressor,1571,.033444818,.035924301,-.1604,-.0045099999,.016109999,.033659998,.054740001,.073590003,.24624
ready_no_lag,ready,ln_currentgdp,regressor,1571,7.7308989,3.0193248,1.0006319,3.771956,5.6390696,7.4927006,9.5283203,11.82999,16.854893
ready_no_lag,ready,inflation_cpi,regressor,1571,.048964079,.058754601,-.017680001,.0058300002,.016970001,.032340001,.063600004,.10664,.72300005
ready_no_lag,ready,reserves,regressor,1571,.049241494,.1149595,2.4124340e-06,.00019721306,.002174455,.018834464,.054445706,.096599571,1.5270723
ready_no_lag,ready,tt,regressor,1571,1.006604,.17321563,.31876099,.86000001,.94199997,.995,1.046,1.145,2.7307551
ready_no_lag,ready,interest_revenue,construction_input,1571,.085853145,.10018059,-.069005318,.0041841869,.025435247,.056175176,.10873821,.21172313,.79869783
ready_no_lag,ready,theta_hat_A,construction_input,1571,.044203676,.10799974,-.044901125,-.026366469,-.00775271,.016628059,.054982644,.1324334,1.1774683
ready_no_lag,ready,readiness100,construction_input,1571,.50374335,.14157872,.20213045,.32628709,.37410772,.50011736,.61995918,.70052773,.7973066
