item,value
source_observations,1827
source_duplicate_rows,0
bad_b_it_ln_debt_mapping_rows,0
max_theta_ln_debt_reconstruction_diff,0
debt_sample_observations,1433
debt_sample_countries,60
debt_sample_years,28
debt_sample_first_year,1995
debt_sample_last_year,2022
ready_sample_observations,1448
ready_sample_countries,59
ready_sample_years,28
ready_sample_first_year,1996
ready_sample_last_year,2023
rss_min_cutoff_debt_theta,-.2933765279359935
ready_rss_at_debt_cutoff,.3956635964305066
outcome_horizon,1
competing_criterion_count,5
