equation,variable,N,mean,sd,min,p10,p25,p50,p75,p90,max
debt,b_outcome,1433,.091513589,.11286317,-.8964324,-.0035497055,.030348143,.076519564,.13736813,.20565149,1.2158396
debt,theta_hat_A,1433,.03620699,.68794674,-.80618638,-.53675067,-.37039334,-.16246974,.17858806,.83374751,3.3261492
debt,ln_debt,1433,7.3135972,2.7321889,.9462378,3.8436158,5.6433492,7.1055398,8.6301603,10.86215,15.877669
debt,mA_hat,1433,-.025050649,.081470959,-.2748861,-.12215555,-.073183075,-.027240166,.019725628,.078165822,.20779671
debt,YA_hat,1433,.02293133,.0066113225,.011853455,.015926331,.017434048,.021728905,.027265294,.033020355,.039592538
debt,ln_debt_mA_hat,1433,.013275661,.68887413,-.84435439,-.56747395,-.39712694,-.18140271,.1599943,.81120807,3.2993276
debt,readiness100,1433,.5057103,.14616267,.20213045,.32371673,.37362185,.49937156,.63150978,.70977265,.80720198
debt,vulnerability100,1433,.38272688,.07859721,.25103006,.29944953,.31737366,.36843213,.43425024,.50266796,.58079988
debt,growth,1433,.033825479,.036136352,-.14546999,-.0041399999,.016490001,.03444,.05545,.075000003,.24624
debt,ln_capitagdp,1433,10.046935,.94919175,7.3311939,8.5438366,9.4199314,10.292963,10.839484,11.03305,11.811755
debt,inflation_cpi,1433,.046174221,.054157615,-.017680001,.0051799999,.016070001,.031400003,.061469998,.09939,.72300005
debt,reserves,1433,.054564226,.13415645,2.4124340e-06,.00018522296,.00192782,.015149079,.051256791,.096768454,1.5270723
debt,tt,1433,1.0088556,.18264569,.31876099,.861,.94199997,.99419737,1.044381,1.1442649,2.7307551
ready,A_outcome,1448,.002480587,.017937345,-.21999377,-.0078450013,-.0023458863,.0019829846,.0074831392,.01502037,.080252379
ready,theta_hat_A,1448,.062111061,.70268029,-.80618638,-.53478736,-.35168177,-.14096896,.20204099,.89684957,3.3490784
ready,interest_revenue,1448,.085230082,.097733974,-.069005318,.0053181527,.025861362,.056692768,.10946271,.20771948,.79869783
ready,vulnerability100,1448,.38116372,.079080515,.25103006,.29531658,.3167592,.36707649,.43385726,.50266796,.58079988
ready,growth,1448,.032953799,.035323489,-.14546999,-.0041399999,.015900001,.03308,.053884998,.073179998,.24624
ready,ln_capitagdp,1448,10.043199,.93256658,7.3311939,8.552722,9.4456177,10.294424,10.823619,11.021544,11.709667
ready,inflation_cpi,1448,.047973253,.056366432,-.017680001,.0062300004,.01695,.032894999,.063184999,.10212,.72300005
ready,reserves,1448,.045359936,.11498417,2.4124340e-06,.00018343164,.0019047442,.014990734,.050330676,.087753057,1.5270723
ready,tt,1448,1.0079933,.17587426,.31876099,.86199999,.94199997,.99447137,1.0441905,1.145,2.7307551
