model,equation
Spread_Interact_all,s_it = FE_i + FE_t + beta_A A_c + beta_X X_c + beta_B b_c + beta_AB(A_c*b_c) + beta_AX(A_c*X_c) + controls + error
Y1_X_only,Y(t+1) = FE_i + FE_t + gamma_X X_it + rho_Y Y(t) + error
Y2_A_only,Y(t+1) = FE_i + FE_t + gamma_A A_it + rho_Y Y(t) + error
Y3_persistence,Y(t+1) = FE_i + FE_t + rho_Y Y(t) + error; Y(t)=ConstantGDP(t)/ConstantGDP(t-1)
Y4_all_core,Y(t+1) = FE_i + FE_t + gamma_X X_it + gamma_A A_it + rho_Y Y(t) + error
Y5_macro,Y(t+1) = FE_i + FE_t + core + inflation + error
Y6_layer1_X,Y(t+1) = FE_i + FE_t + gamma_X X_it + rho_Y Y(t) + Gamma W + error
Y7_layer2_A,Y(t+1) = FE_i + FE_t + gamma_A A_it + gamma_X X_it + rho_Y Y(t) + Gamma W + error
Y8_interact_core,Y(t+1) = FE_i + FE_t + gamma_A A_c + gamma_X X_c + gamma_AX(A_c*X_c) + rho_Y Y(t) + error
Y9_interact_macro,Y(t+1) = FE_i + FE_t + centered interaction core + inflation + error
Y10_interact_full,Y(t+1) = FE_i + FE_t + centered interaction core + Gamma W + error
