item,value
raw_observations,1827
duplicate_country_year_rows,0
nonpositive_ConstantGDP_rows,0
spread_sample_observations,1174
spread_sample_countries,60
spread_sample_years,26
spread_sample_first_year,1998
spread_sample_last_year,2023
output_sample_observations,1461
output_sample_countries,60
output_sample_years,27
output_sample_first_year,1996
output_sample_last_year,2022
theta_support_observations,1114
theta_support_countries,60
theta_support_years,25
theta_constructible_observations,1677
bad_outcome_year_alignment_rows,0
bad_b_it_debt_gdp_mapping_rows,0
